DATE,QBPBSTAS
1984-01-01,3373919.507
1984-04-01,3479612.269
1984-07-01,3520867.479
1984-10-01,3653117.32
1985-01-01,3666442.893
1985-04-01,3758081.537
1985-07-01,3853632.422
1985-10-01,3993326.324
1986-01-01,4022333.998
1986-04-01,4106579.622
1986-07-01,4158122.268
1986-10-01,4327565.137
1987-01-01,4301276.512
1987-04-01,4353712.757
1987-07-01,4407108.435
1987-10-01,4502059.54
1988-01-01,4540892.39
1988-04-01,4611831.719
1988-07-01,4692092.277
1988-10-01,4758966.067
1989-01-01,4698927.56
1989-04-01,4740289.08
1989-07-01,4718377.15
1989-10-01,4736408.67
1990-01-01,4670804.702
1990-04-01,4686704.559
1990-07-01,4691535.201
1990-10-01,4656548.263
1991-01-01,4568363.966
1991-04-01,4545210.391
1991-07-01,4573603.88
1991-10-01,4550192.185
1992-01-01,4541414.416
1992-04-01,4522169.402
1992-07-01,4535690.297
1992-10-01,4541325.436
1993-01-01,4528140.235
1993-04-01,4577983.256
1993-07-01,4641711.203
1993-10-01,4711354.008
1994-01-01,4843916.404
1994-04-01,4895161.881
1994-07-01,4932363.513
1994-10-01,5022360.958
1995-01-01,5132797.898
1995-04-01,5190620.769
1995-07-01,5256475.497
1995-10-01,5340963.353
1996-01-01,5327521.968
1996-04-01,5422841.137
1996-07-01,5496864.192
1996-10-01,5611184.065
1997-01-01,5667302.357
1997-04-01,5803460.852
1997-07-01,5894611.596
1997-10-01,6044717.755
1998-01-01,6152711.602
1998-04-01,6229498.743
1998-07-01,6327525.195
1998-10-01,6531024.519
1999-01-01,6521924.728
1999-04-01,6594814.76
1999-07-01,6655738.746
1999-10-01,6883659.075
2000-01-01,7004568.467
2000-04-01,7163614.418
2000-07-01,7269388.01
2000-10-01,7462898.054
2001-01-01,7572689.271
2001-04-01,7635923.679
2001-07-01,7844175.799
2001-10-01,7867077.283
2002-01-01,7822741.802
2002-04-01,8039006.629
2002-07-01,8272829.759
2002-10-01,8435858.213
2003-01-01,8605714.87
2003-04-01,8923262.177
2003-07-01,8943134.245
2003-10-01,9075653.324
2004-01-01,9377238.799
2004-04-01,9648544.817
2004-07-01,9877215.472
2004-10-01,10107378.707
2005-01-01,10286409.862
2005-04-01,10474368.258
2005-07-01,10700704.372
2005-10-01,10879266.653
2006-01-01,11209759.506
2006-04-01,11526114.005
2006-07-01,11754158.247
2006-10-01,11861854.572
2007-01-01,11982319.595
2007-04-01,12261392.259
2007-07-01,12706149.708
2007-10-01,13033934.371
2008-01-01,13369322.096
2008-04-01,13300429.887
2008-07-01,13545965.481
2008-10-01,13817670.936
2009-01-01,13526158.167
2009-04-01,13279679.333
2009-07-01,13226016.909
2009-10-01,13086777.689
2010-01-01,13336004.267
2010-04-01,13199507.433
2010-07-01,13372707.514
2010-10-01,13318922.958
2011-01-01,13414246.871
2011-04-01,13601986.529
2011-07-01,13811890.222
2011-10-01,13891344.756
2012-01-01,13925410.73
2012-04-01,14030842.983
2012-07-01,14222854.708
2012-10-01,14450403.761
2013-01-01,14423791.848
2013-04-01,14409751.242
2013-07-01,14603604.365
2013-10-01,14730790.515
2014-01-01,14909898.824
2014-04-01,15171911.352
2014-07-01,15348740.218
2014-10-01,15553728.396
2015-01-01,15777971.708
2015-04-01,15753630.867
2015-07-01,15800092.047
2015-10-01,15967662.111
2016-01-01,16293275.899
2016-04-01,16533969.432
2016-07-01,16766622.237
2016-10-01,16779681.324
2017-01-01,16965580.738
2017-04-01,17069493.576
2017-07-01,17242501.094
2017-10-01,17415409.638
2018-01-01,17530252.166
2018-04-01,17532878.34
2018-07-01,17672831.76
2018-10-01,17942991.682
2019-01-01,18089968.034
2019-04-01,18265869.305
2019-07-01,18481913.859
2019-10-01,18645727.167
2020-01-01,20255186.617
2020-04-01,21139329.084
2020-07-01,21209354.149
2020-10-01,21868751.308
2021-01-01,22546899.962
2021-04-01,22774438.295
2021-07-01,23251942.475
2021-10-01,23719866.385
2022-01-01,23973562.106
2022-04-01,23718522.207
2022-07-01,23631743.095
