rank,boxer,score
1,Dmitry Bivol,0.0162
2,Artur Beterbiev,0.0155
3,Canelo Alvarez,0.0128
4,Lennox Lewis,0.0106
5,Roman Gonzalez,0.0092
6,Marvin Hagler,0.0086
7,Manny Pacquiao,0.0083
8,Carlos Monzon,0.008
9,Wladimir Klitschko,0.008
10,Eder Jofre,0.0073
11,Jaime Munguia,0.0065
12,Ricardo Lopez,0.006
13,Rosendo Alvarez,0.0056
14,Julio Cesar Chavez,0.0056
15,Bernard Hopkins,0.0056
16,Terence Crawford,0.0054
17,Vitali Klitschko,0.0053
18,Roy Jones Jr,0.0052
19,Carlos Cuadras,0.0051
20,Roberto Duran,0.0051
21,Evander Holyfield,0.005
22,Juan Francisco Estrada,0.0049
23,Oleksandr Usyk,0.0049
24,Hasim Rahman,0.0048
25,Oliver McCall,0.0047
26,Sergio Martinez,0.0047
27,Myung Woo Yuh,0.0046
28,Luis Manuel Rodriguez,0.0046
29,Emile Griffith,0.0045
30,Jose Napoles,0.0045
31,Flash Elorde,0.0045
32,Gervonta Davis,0.0044
33,Hector Camacho,0.0044
34,Hiroki Ioka,0.0043
35,Juan Manuel Marquez,0.0041
36,Carlos Ortiz,0.0041
37,Gennady Golovkin,0.004
38,James Toney,0.004
39,Muhammad Ali,0.004
40,Srisaket Sor Rungvisai,0.0039
41,Virgil Hill,0.0039
42,Anthony Joshua,0.0039
43,Ryan Garcia,0.0039
44,Lamont Roach Jr,0.0039
45,Naoya Inoue,0.0038
46,Sugar Ray Leonard,0.0038
47,Thomas Hearns,0.0038
48,Andre Ward,0.0038
49,Julio Cesar Chavez Jr,0.0037
50,Oscar De La Hoya,0.0037
51,Dick Tiger,0.0035
52,Iran Barkley,0.0035
53,George Foreman,0.0035
54,Ruben Olivares,0.0034
55,Timothy Bradley,0.0034
56,Devin Haney,0.0033
57,Mike Tyson,0.0033
58,Erik Morales,0.0033
59,Miguel Cotto,0.0033
60,Keith Thurman,0.0033
61,Joe Calzaghe,0.0032
62,Jean Pascal,0.0032
63,Nino Benvenuti,0.0032
64,Tyson Fury,0.0032
65,Paul Williams,0.0031
66,Antonio Cervantes,0.0031
67,Floyd Mayweather Jr,0.003
68,Sergey Kovalev,0.003
69,Alexis Arguello,0.003
70,Marco Antonio Barrera,0.0029
71,Carl Froch,0.0029
72,Mikkel Kessler,0.0029
73,Joe Joyce,0.0028
74,Bruno Surace,0.0028
75,Larry Holmes,0.0028
76,Edwin Rosario,0.0028
77,Felix Trinidad,0.0028
78,Fabio Wardley,0.0027
79,Badou Jack,0.0027
80,Chris Byrd,0.0027
81,Sugar Shane Mosley,0.0026
82,Miguel Canto,0.0026
83,Frazer Clarke,0.0025
84,Mike McCallum,0.0024
85,Daniel Dubois,0.0024
86,Dariusz Michalczewski,0.0024
87,Khaosai Galaxy,0.0024
88,Pernell Whitaker,0.0023
89,Shawn Porter,0.0023
90,Bob Foster,0.0023
91,Nonito Donaire,0.0023
92,Salvador Sanchez,0.0023
93,Wilfred Benitez,0.0022
94,Adonis Stevenson,0.0022
95,Jorge Juarez,0.0022
96,Azumah Nelson,0.0022
97,Manuel Vargas,0.0022
98,Chad Dawson,0.0022
99,Glen Johnson,0.0022
100,Jermell Charlo,0.0021
101,Jung Koo Chang,0.002
102,Teofimo Lopez,0.002
103,Wilfredo Gomez,0.002
104,Zhilei Zhang,0.002
105,Marlon Tapales,0.0019
106,Brian Vera,0.0019
107,Loreto Garza,0.0019
108,Sonny Liston,0.0019
109,Aaron Pryor,0.0018
110,Brian Viloria,0.0018
111,Shakur Stevenson,0.0018
112,Darrin Van Horn,0.0018
113,David Benavidez,0.0017
114,Ken Norton,0.0017
115,Vicente Saldivar,0.0017
116,Rolando Romero,0.0017
117,Vito Antuofermo,0.0017
118,Antonio Tarver,0.0016
119,Kostya Tszyu,0.0016
120,Devon Alexander,0.0016
121,Andy Lee,0.0016
122,Manny Elias,0.0016
123,Fighting Harada,0.0016
124,Ernesto Miranda,0.0016
125,Ruben Caceres,0.0016
126,McWilliams Arroyo,0.0016
127,Bobby Joe Young,0.0016
128,Jorge Linares,0.0016
129,Eusebio Pedroza,0.0016
130,Fabrice Tiozzo,0.0016
131,Zsolt Erdei,0.0016
132,Michael Spinks,0.0016
133,Marcus Browne,0.0015
134,Bobby Watts,0.0015
135,Sugar Ray Leonard Seales,0.0015
136,Willie Monroe,0.0015
137,Junior Witter,0.0015
138,Rocky Fuentes,0.0015
139,Serhiy Dzyndzyruk,0.0014
140,Filip Hrgovic,0.0014
141,Errol Spence Jr,0.0014
142,Mario Macias,0.0014
143,Francisco Garcia,0.0014
144,Lucian Bute,0.0014
145,Agit Kabayel,0.0014
146,Edner Cherry,0.0014
147,Vasiliy Lomachenko,0.0014
148,Vasyl Lomachenko,0.0014
149,Katsunari Takayama,0.0014
150,Lamon Brewster,0.0014
151,Corrie Sanders,0.0014
152,Ross Puritty,0.0014
153,Liam Smith,0.0014
154,Kohei Kono,0.0014
155,Deontay Wilder,0.0014
156,Denis Grachev,0.0014
157,Carlos Quintana,0.0014
158,Jason Moloney,0.0014
159,John Duddy,0.0014
160,Jose Pedraza,0.0013
161,Regis Prograis,0.0013
162,Jaron Ennis,0.0013
163,Moises Fuentes,0.0013
164,Rocky Fielding,0.0013
165,Kendall Holt,0.0013
166,Guillermo Rigondeaux,0.0013
167,Antonio Margarito,0.0013
168,Samartlek Kokietgym,0.0012
169,Yutaka Niida,0.0012
170,Jermall Charlo,0.0012
171,Joe Frazier,0.0012
172,John Ryder,0.0012
173,Juan Carlos Burgos,0.0012
174,Chris van Heerden,0.0012
175,Paul Butler,0.0012
