rank,boxer,score
1,Canelo Alvarez,0.0124
2,Marvin Hagler,0.0114
3,Gervonta Davis,0.0114
4,Dmitry Bivol,0.0111
5,Artur Beterbiev,0.0108
6,Lamont Roach Jr,0.0098
7,Roman Gonzalez,0.0089
8,Roberto Duran,0.0089
9,Carlos Monzon,0.0083
10,Lennox Lewis,0.0079
11,Manny Pacquiao,0.0074
12,Evander Holyfield,0.0067
13,Wladimir Klitschko,0.0064
14,Carlos Cuadras,0.0064
15,Roy Jones Jr,0.0062
16,Muhammad Ali,0.0062
17,Bernard Hopkins,0.0058
18,Ricardo Lopez,0.0057
19,Julio Cesar Chavez,0.0056
20,Luis Manuel Rodriguez,0.0055
21,Carlos Ortiz,0.0053
22,Vitali Klitschko,0.0053
23,Rosendo Alvarez,0.0053
24,Eder Jofre,0.0052
25,Emile Griffith,0.0051
26,Sugar Ray Leonard,0.005
27,Sergio Martinez,0.0049
28,Jaime Munguia,0.0048
29,Srisaket Sor Rungvisai,0.0048
30,Thomas Hearns,0.0048
31,Hector Camacho,0.0045
32,James Toney,0.0044
33,Myung Woo Yuh,0.0044
34,Flash Elorde,0.0044
35,Ruben Olivares,0.0043
36,Jose Napoles,0.0043
37,Floyd Mayweather Jr,0.0043
38,George Foreman,0.0042
39,Juan Francisco Estrada,0.0042
40,Dick Tiger,0.0042
41,Jorge Juarez,0.0042
42,Hiroki Ioka,0.0041
43,Iran Barkley,0.004
44,Alexis Arguello,0.004
45,Oliver McCall,0.004
46,Erik Morales,0.0039
47,Andre Ward,0.0038
48,Juan Manuel Marquez,0.0037
49,Miguel Canto,0.0037
50,Virgil Hill,0.0036
51,Miguel Cotto,0.0036
52,Edwin Rosario,0.0036
53,Oscar De La Hoya,0.0035
54,Marco Antonio Barrera,0.0035
55,Ryan Garcia,0.0035
56,Timothy Bradley,0.0035
57,Mike McCallum,0.0035
58,Salvador Sanchez,0.0034
59,Naoya Inoue,0.0034
60,Paul Williams,0.0033
61,Devin Haney,0.0033
62,Loreto Garza,0.0032
63,Chris Byrd,0.0032
64,Sugar Shane Mosley,0.0032
65,Oleksandr Usyk,0.0032
66,Felix Trinidad,0.0031
67,Bobby Watts,0.0031
68,Willie Monroe,0.0031
69,Yutaka Niida,0.0031
70,Jean Pascal,0.003
71,Mike Tyson,0.003
72,Nino Benvenuti,0.003
73,Pernell Whitaker,0.0029
74,Joe Calzaghe,0.0029
75,Carl Froch,0.0029
76,Julio Cesar Chavez Jr,0.0028
77,Mikkel Kessler,0.0028
78,Terence Crawford,0.0027
79,Gennady Golovkin,0.0027
80,Sergey Kovalev,0.0027
81,Khaosai Galaxy,0.0027
82,Sonny Liston,0.0027
83,Esteban de Jesus,0.0026
84,Antonio Margarito,0.0026
85,Ross Puritty,0.0025
86,Dariusz Michalczewski,0.0025
87,Larry Holmes,0.0025
88,Badou Jack,0.0025
89,Fabio Wardley,0.0024
90,Joe Joyce,0.0024
91,Ryoichi Taguchi,0.0024
92,Wilfred Benitez,0.0024
93,Rustico Torrecampo,0.0024
94,Antonio Cervantes,0.0023
95,Ken Norton,0.0023
96,Jung Koo Chang,0.0022
97,Clinton Mitchell,0.0022
98,Vicente Saldivar,0.0022
99,Frazer Clarke,0.0022
100,Keith Thurman,0.0022
101,Junior Witter,0.0021
102,Kostya Tszyu,0.0021
103,Bruno Surace,0.0021
104,Antonio Becerra,0.0021
105,Jose Luis Ramirez,0.002
106,Bob Foster,0.002
107,Adonis Stevenson,0.002
108,Sugar Ray Seales,0.002
109,Brian Vera,0.002
110,Manuel Vargas,0.002
111,Glen Johnson,0.0019
112,Brian Viloria,0.0019
113,Edner Cherry,0.0019
114,Anthony Joshua,0.0019
115,McWilliams Arroyo,0.0018
116,Eusebio Pedroza,0.0018
117,Marlon Tapales,0.0018
118,Teofimo Lopez,0.0018
119,Chad Dawson,0.0018
120,Nonito Donaire,0.0018
121,Hasim Rahman,0.0017
122,Javier Duran,0.0017
123,Sumbu Kalambay,0.0017
124,Riddick Bowe,0.0017
125,Wilfredo Gomez,0.0017
126,Darrin Van Horn,0.0017
127,David Benavidez,0.0017
128,Joe Frazier,0.0016
129,Medgoen Singsurat,0.0016
130,Francisco Tomas da Cruz,0.0016
131,Carlos Quintana,0.0016
132,Zhilei Zhang,0.0016
133,Moises Fuentes,0.0016
134,Liam Smith,0.0016
135,Tyson Fury,0.0016
136,Fabrice Tiozzo,0.0016
137,Ernesto Miranda,0.0015
138,Andy Lee,0.0015
139,Azumah Nelson,0.0015
140,Antonio Tarver,0.0015
141,Julio Cesar Martinez,0.0015
142,Frankie Randall,0.0015
143,Jorge Linares,0.0015
144,Lucian Bute,0.0015
145,Zsolt Erdei,0.0014
146,Mario Macias,0.0014
147,Devon Alexander,0.0014
148,Katsunari Takayama,0.0014
149,Shakur Stevenson,0.0014
150,Kohei Kono,0.0014
151,Serhiy Dzyndzyruk,0.0014
152,Corrie Sanders,0.0014
153,Jaron Ennis,0.0014
154,Marty Marshall,0.0014
155,Aaron Pryor,0.0014
156,Ruben Caceres,0.0014
157,Shawn Porter,0.0013
158,Jermell Charlo,0.0013
159,Michael Moorer,0.0013
160,Julio Cesar Gonzalez,0.0013
161,Rocky Fuentes,0.0013
162,Winky Wright,0.0013
163,Juan Carlos Burgos,0.0013
164,Samartlek Kokietgym,0.0013
165,Masayuki Kuroda,0.0013
166,Jimmy Young,0.0013
167,Vasiliy Lomachenko,0.0013
168,Vasyl Lomachenko,0.0013
169,Kendall Holt,0.0013
170,Michael Spinks,0.0013
171,Denis Grachev,0.0013
172,Guillermo Rigondeaux,0.0013
173,Orlando Salido,0.0013
174,Antonio Aguilar,0.0012
175,Francisco Garcia,0.0012
176,Baby Luis,0.0012
177,Marcus Browne,0.0012
178,Livingstone Bramble,0.0012
179,Lamon Brewster,0.0012
180,Daniel Dubois,0.0012
181,Chris van Heerden,0.0012
182,Bobby Joe Young,0.0012
183,Hilton Smith,0.0012
184,Jason Moloney,0.0012
185,Regis Prograis,0.0012
186,Nate Campbell,0.0012
187,Vito Antuofermo,0.0012
188,Brian Rose,0.0012
189,Agit Kabayel,0.0012
190,Rocky Fielding,0.0012
191,Fighting Harada,0.0011
192,Darnell Boone,0.0011
193,Kenny Lane,0.0011
194,Johnny Busso,0.0011
195,Buster Douglas,0.0011
196,Ramon Garcia Hirales,0.0011
197,Filip Hrgovic,0.0011
198,Leon Spinks,0.0011
199,Junior Jones,0.0011
200,Richard Commey,0.0011
201,Jose Pedraza,0.0011
202,Jermall Charlo,0.0011
203,Alberto Massi,0.0011
204,Felipe Cambeiro,0.0011
205,Mario Javier Nieva,0.0011
206,Rolando Romero,0.0011
207,Howard Davis Jr,0.0011
208,Errol Spence Jr,0.0011
209,Paul Butler,0.0011
210,John Duddy,0.0011
211,John Ryder,0.0011
212,Montell Griffin,0.0011
213,Greg Haugen,0.001
214,George Kambosos Jr,0.001
215,Oscar Espinosa,0.001
216,Omar Amaya,0.001
217,Vince Phillips,0.001
218,Stephan Johnson,0.001
219,Akira Yaegashi,0.001
220,Curtis Cokes,0.001
221,Eleider Alvarez,0.001
222,Hilario Zapata,0.001
223,TJ Doheny,0.001
224,Juan Carlos Payano,0.001
225,Juan Escobar,0.0009
226,Antonio Nieves,0.0009
227,Ruslan Provodnikov,0.0009
228,Robbie Sims,0.0009
229,Tony Waddles,0.0009
230,Duilio Loi,0.0009
231,Jussi Koivula,0.0009
232,Jose Salgado,0.0009
233,Kal Yafai,0.0009
234,Gianfranco Rosi,0.0009
235,Omar Salado,0.0008
236,Freddie Norwood,0.0008
237,Rosendo Sanchez,0.0008
238,Edgar Berlanga,0.0008
239,Shane Mosley,0.0008
240,Darren Barker,0.0008
241,Randy Sandy,0.0008
242,Murodjon Akhmadaliev,0.0008
243,Zaur Abdullaev,0.0008
244,Kirkland Laing,0.0008
245,Brix Ray,0.0008
246,Masayoshi Segawa,0.0008
247,Ronald Barrera,0.0008
248,Richard Williams,0.0008
249,Alfredo Urbina,0.0007
250,Tony Perez,0.0007
251,Caleb Plant,0.0007
252,Terry Norris,0.0007
253,Deontay Wilder,0.0007
254,Pedro Carillo,0.0007
255,Andy Ruiz Jr,0.0007
256,Emmanuel Rodriguez,0.0007
257,Kongsadan SorPrateep,0.0007
258,Pairatnoi Chuwattana,0.0007
259,Jorge Reyes,0.0007
260,Zahir Raheem,0.0007
261,Noel Arambulet,0.0007
262,John Ruiz,0.0007
263,Maxim Babanin,0.0007
264,Sanderline Williams,0.0007
265,Vinny Pazienza,0.0007
266,Vernon Forrest,0.0007
267,Jesse Rodriguez,0.0007
268,Agapito Sanchez,0.0007
269,Beibut Shumenov,0.0007
270,Lou Filippo,0.0007
271,Genesis Servania,0.0007
272,Willy Wise,0.0007
273,Ernie Landeros,0.0007
274,Kenichiro Hamaguchi,0.0007
275,Tsutomu Oshigane,0.0007
276,Diego Chaves,0.0007
277,Tony Harrison,0.0007
278,Jose Luis Garcia,0.0006
279,Tarcisio Gomez,0.0006
280,Takashi Okada,0.0006
281,Albino Veron,0.0006
282,Derek Edwards,0.0006
283,Sak Galaxy,0.0006
284,Thulani Malinga,0.0006
285,Austin Trout,0.0006
286,Callum Smith,0.0006
287,Grover Young,0.0006
288,Manny Elias,0.0006
289,Doug Jones,0.0006
290,Kim Ki-Soo,0.0006
291,Celedonio Lima,0.0006
292,Chucho Castillo,0.0006
293,Tommy West,0.0006
294,Ernesto Marcel,0.0006
295,Drake Thadzi,0.0006
296,Joaquin Cruz,0.0006
297,Thomas Tate,0.0006
298,Segundo Mercado,0.0006
299,David Diaz,0.0006
300,Percy Manning,0.0006
301,Jacinto Fuentes,0.0005
302,Zab Judah,0.0005
303,Daigo Higa,0.0005
304,Leonardo Mas,0.0005
305,Denny Moyer,0.0005
306,LC Morgan,0.0005
307,Osley Silas,0.0005
308,Josh Taylor,0.0005
309,Manoel Severino,0.0005
310,Emilio Ale Ali,0.0005
311,Andres Antonio Selpa,0.0005
312,Billy Joe Saunders,0.0005
313,Tony Thornton,0.0005
314,Juan Hernandez,0.0005
315,Ismael Laguna,0.0005
316,David Sanchez,0.0005
317,James DeGale,0.0005
318,Zolani Tete,0.0005
319,Kell Brook,0.0005
320,Kuniaki Shibata,0.0005
321,Jody Ballard,0.0005
322,Tomoya Tsuboi,0.0005
323,Benny Paret,0.0005
324,Omar Nino Romero,0.0005
325,Eddie Hall,0.0005
326,Amnat Ruenroeng,0.0005
327,Daisuke Iida,0.0005
328,Kosei Tanaka,0.0005
329,Betulio Gonzalez,0.0005
330,Edgar Sosa,0.0005
331,Ubaldo Marcos Bustos,0.0005
332,Rafael Herrera,0.0005
333,Ricky Hatton,0.0005
334,Danny Garcia,0.0005
335,Oleksandr Gvozdyk,0.0004
336,Alfonso Perez,0.0004
337,Vicente Rondon,0.0004
338,Bennie Briscoe,0.0004
339,Kid Independence,0.0004
340,Floyd Cummings,0.0004
341,Jean-Marc Mormeck,0.0004
342,Juan Nazario,0.0004
343,Wendell Baily,0.0004
344,Humberto Gonzalez,0.0004
345,German Bastidas,0.0004
346,Amir Khan,0.0004
347,Jose Luis Varela,0.0004
348,Donnie Nietes,0.0004
349,Eric Harding,0.0004
350,Cassius Clay,0.0004
351,Larry Donald,0.0004
352,Jose Leonardo Cruz,0.0004
353,Cesar Najera,0.0004
354,Gabriel Campillo,0.0004
355,Art Hafey,0.0004
356,Alan Dean,0.0004
357,Luis Angel Martinez,0.0004
358,Abel Ochoa,0.0004
359,Oscar Arnal,0.0004
360,Alfonso Zamora,0.0004
361,Miguel Angel Gonzalez,0.0004
362,Joseph Parker,0.0004
363,Terry Caruthers,0.0004
364,Pat Lawlor,0.0004
365,Little Dundee,0.0004
366,Nicolino Locche,0.0004
367,Mauro Mina,0.0004
368,Marco Antonio Periban,0.0004
369,Ek Sit Por Daeng,0.0004
370,Marcos Maidana,0.0004
371,Billy Lyell,0.0004
372,Chris John,0.0004
373,Rubin Carter,0.0004
374,Henry Maske,0.0004
375,Hamzah Sheeraz,0.0004
376,Tom Bethea,0.0004
377,Daniel Roman,0.0004
378,Cam Raeside,0.0004
379,Aundalen Sloan,0.0004
380,Juan Aguilar,0.0004
381,Jimmy Lynas,0.0004
382,George Roe,0.0004
383,Gerry McNally,0.0004
