Rank,Boxer,Score
1,Dmitry Bivol,0.0660
2,Artur Beterbiev,0.0627
3,Daniel Dubois,0.0292
4,Canelo Alvarez,0.0291
5,Oleksandr Usyk,0.0289
6,Terence Crawford,0.0211
7,Joe Joyce,0.0200
8,Filip Hrgovic,0.0193
9,Chris Eubank Jr,0.0163
10,Kazuto Ioka,0.0162
11,Floyd Mayweather Jr,0.0150
12,Shakur Stevenson,0.0138
13,Gennady Golovkin,0.0126
14,Anthony Joshua,0.0126
15,Naoya Inoue,0.0115
16,Juan Francisco Estrada,0.0108
17,Devin Haney,0.0108
18,Conor Benn,0.0106
19,Tyson Fury,0.0105
20,Srisaket Sor Rungvisai,0.0100
21,Andy Ruiz Jr,0.0098
22,Ryan Garcia,0.0096
23,Jermell Charlo,0.0092
24,Vasyl Lomachenko,0.0090
25,Deontay Wilder,0.0089
26,Zhilei Zhang,0.0087
27,Teofimo Lopez,0.0084
28,Liam Smith,0.0083
29,Jesse ‘Bam’ Rodriguez,0.0078
30,David Benavidez,0.0072
31,George Groves,0.0064
32,Josh Warrington,0.0063
33,Carl Frampton,0.0062
34,Derek Chisora,0.0061
35,Errol Spence Jr,0.0061
36,Joseph Parker,0.0058
37,Jermall Charlo,0.0058
38,Manny Pacquiao,0.0058
39,Janibek Alimkhanuly,0.0054
40,Fernando Martinez,0.0051
41,Joshua Franco,0.0051
42,Donnie Nietes,0.0051
43,Leo Santa Cruz,0.0051
44,Nonito Donaire,0.0050
45,Kosei Tanaka,0.0050
46,Kell Brook,0.0049
47,Jake Paul,0.0048
48,Caleb Plant,0.0046
49,Wladimir Klitschko,0.0043
50,Roy Jones Jr,0.0042
51,Luis Ortiz,0.0041
52,George Kambosos,0.0041
53,Guillermo Rigondeaux,0.0040
54,Billy Joe Saunders,0.0039
55,Oscar De La Hoya,0.0038
56,John Gotti III,0.0037
57,Aaron Chalmers,0.0037
58,Don Moore,0.0037
59,Logan Paul,0.0037
60,Roman ‘Chocolatito’ Gonzalez,0.0035
61,Amir Khan,0.0035
62,Jarrell Miller,0.0033
63,Brian Carlos Castano,0.0031
64,Tony Harrison,0.0031
65,Orlando Salido,0.0030
66,Gervonta ‘Tank’ Davis,0.0026
67,Phumelele Cafu,0.0026
68,Bernard Hopkins,0.0026
69,Marco Antonio Barrera,0.0026
70,Tommy Fury,0.0025
71,Mike Tyson,0.0025
72,Callum Smith,0.0023
73,Badou Jack,0.0023
74,Carl Froch,0.0023
75,Jamel Herring,0.0022
76,Jaime Munguia,0.0019
77,Aaron McKenna,0.0019
78,Magomed Kurbanov,0.0019
79,Anthony Cacace,0.0018
80,Leigh Wood,0.0018
81,Luis Alberto Lopez,0.0018
82,Mauricio Lara,0.0018
83,Jose Armando Resendiz,0.0018
84,Anthony Pettis,0.0017
85,Enzo Maccarinelli,0.0017
86,Lateef Kayode,0.0016
87,Vincent Astrolabio,0.0013
88,John Riel Casimero,0.0013
89,Moises Flores,0.0013
90,Vitor Belfort,0.0012
91,Ricky Hatton,0.0012
92,Nicholas Walters,0.0012
93,Seiya Tsutsumi,0.0012
94,Alejandro Santiago,0.0012
95,Jessie Magdaleno,0.0012
96,Shane Mosley,0.0011
97,Felix Trinidad,0.0011
98,Mario Barrios,0.0011
99,Rukiya Anpo,0.0011
100,DK Yoo,0.0011
101,Yordenis Ugas,0.0011
102,Jeff Horn,0.0011
103,Juan Manuel Marquez,0.0011
104,Agapito Sanchez,0.0011
105,Joe Smith Jr,0.0010
106,Sergey Kovalev,0.0010
107,Chad Dawson,0.0010
108,Joe Calzaghe,0.0010
109,Kevin McBride,0.0009
110,Danny Williams,0.0009
111,Lennox Lewis,0.0009
112,Evander Holyfield,0.0009
113,Ryota Murata,0.0005
114,Kamil Szeremeta,0.0005
115,Sergiy Derevyanchenko,0.0005
116,Steve Rolls,0.0005
117,Vanes Martirosyan,0.0005
118,Daniel Jacobs,0.0005
